priority,tier,session,signal,q,body,source,topics,title,url,path
40,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Web & UI|Typography & Type,The Great Transition: Why the Design World is Re-Evaluating Figma,https://webdesignerdepot.com/the-great-transition-why-the-design-world-is-re-evaluating-figma/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172329-q100-the-great-transition-why-the-design-world-is-re-ev.md
41,1,v2-overnight,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,Inside London’s Wolff Olins and Pentagram Studios &#8211; Eye on Design,https://eyeondesign.aiga.org/city-guides/london/inside-londons-wolff-olins-and-pentagram-studios/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-115733-q100-inside-london-s-wolff-olins-and-pentagram-studios-.md
42,1,v2-overnight,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,"Michael Gericke on Maintaining Pentagram’s Rep, His Biggest Regrets + How He Nearly Became",https://eyeondesign.aiga.org/michael-gericke-on-maintaining-pentagrams-rep-his-biggest-regrets-how-he-nearly-became-a-ski-bum-instead/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-120108-q100-michael-gericke-on-maintaining-pentagram-s-rep-his.md
43,1,v2-overnight,8,0.86,8000,www.pentagram.com,Typography & Type|Web & UI,https://www.pentagram.com/build/main/assets/index-Ba6h7bZK.css,https://www.pentagram.com/build/main/assets/index-Ba6h7bZK.css,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-182812-q85-https-www-pentagram-com-build-main-assets-index-ba.md
44,1,v2-overnight,8,0.95,7999,eyeondesign.aiga.org,Minimalism|Branding & Identity,"Tech Minimalism is Out. Welcome to the Squishy, Microbial World of the Biobrand &#8211; Ey",https://eyeondesign.aiga.org/tech-minimalism-is-out-welcome-to-the-squishy-microbial-world-of-the-biobrand/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095443-q94-tech-minimalism-is-out-welcome-to-the-squishy-micr.md
45,1,v2-overnight,8,0.94,7999,eyeondesign.aiga.org,AI & Design|Editorial & Print,Cruelty-Free? Don’t Believe All the Cute Bunny Labels &#8211; Eye on Design,https://eyeondesign.aiga.org/cruelty-free-dont-believe-all-the-cute-bunny-labels/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095547-q94-cruelty-free-don-t-believe-all-the-cute-bunny-labe.md
46,1,v2-overnight,8,0.94,7999,eyeondesign.aiga.org,Editorial & Print|Photography,"In the Late ’70s in the Bronx, PHASE 2’s Party Flyers Created a Visual Language for Hip-Ho",https://eyeondesign.aiga.org/in-the-late-70s-in-the-bronx-phase-2s-party-flyers-created-a-visual-language-for-hip-hop/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095618-q94-in-the-late-70s-in-the-bronx-phase-2-s-party-flyer.md
47,1,v2-overnight,8,1.00,7999,typographica.org,Typography & Type|Layout & Grid,Our Favorite Typefaces&nbsp;of&nbsp;2004 &#8211; Typographica,https://typographica.org/on-typography/our-favorite-typefaces-of-2004/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180726-q100-our-favorite-typefaces-nbsp-of-nbsp-2004-8211-typo.md
48,1,v2-overnight,8,1.00,7999,webdesignerdepot.com,Web & UI|Layout & Grid,Not Useless: Why Experimental Websites Matter More Than You Think,https://webdesignerdepot.com/not-useless-why-experimental-websites-matter-more-than-you-think/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172245-q100-not-useless-why-experimental-websites-matter-more-.md
49,1,v2-overnight,8,1.00,7858,webdesignerdepot.com,Web & UI|Color & Palette,10 New Year’s Resolutions Every Web Designer Will Definitely Break,https://webdesignerdepot.com/10-new-years-resolutions-every-web-designer-will-definitely-break/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172548-q100-10-new-year-s-resolutions-every-web-designer-will-.md
50,1,v2-overnight,8,1.00,7477,www.itsnicethat.com,Branding & Identity|AI & Design,Samar Maakaroun’s visual identity for The Mosaic Rooms challenges reductive narratives aro,https://www.itsnicethat.com/articles/samar-maakaroun-the-mosaic-rooms-identity-graphic-design-project-060526,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183430-q100-samar-maakaroun-s-visual-identity-for-the-mosaic-r.md
51,1,v2-overnight,8,0.91,6983,webdesignerdepot.com,Web & UI|Editorial & Print,Web Design Blog | Web Designer Depot,http://webdesignerdepot.com/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172348-q90-web-design-blog-web-designer-depot.md
52,1,v2-overnight,8,0.91,6752,www.itsnicethat.com,Photography|AI & Design,Stacy Kranitz intimately photographs the victims of the juvenile justice system in Rutherf,https://www.itsnicethat.com/articles/stacy-kranitz-rutherford-county-photography-191121,/Users/nothingfear/overnight-ai-aesthetic/out/a-c3-20260603-171724-q90-stacy-kranitz-intimately-photographs-the-victims-o.md
